idCapes	idCapesPai	codigo	nome	nivel
1	NULL	10000003	CIÊNCIAS EXATAS E DA TERRA	1
2	1	10100008	MATEMÁTICA	2
3	2	10101004	ALGEBRA	3
4	3	10101012	CONJUNTOS	4
5	3	10101020	LÓGICA MATEMÁTICA	4
6	3	10101039	TEORIA DOS NÚMEROS	4
7	3	10101047	GRUPO DE ÁLGEBRA NÃO-COMUTATIVA	4
8	3	10101055	ÁLGEBRA COMUTATIVA	4
9	3	10101063	GEOMETRIA ALGÉBRICA	4
10	2	10102000	ANÁLISE	3
11	10	10102019	ANÁLISE COMPLEXA	4
12	10	10102027	ANÁLISE FUNCIONAL	4
13	10	10102035	ANÁLISE FUNCIONAL NÃO-LINEAR	4
14	10	10102043	EQUAÇÕES DIFERENCIAIS ORDINÁRIAS	4
15	10	10102051	EQUAÇÕES DIFERENCIAIS PARCIAIS	4
16	10	10102060	EQUAÇÕES DIFERENCIAIS FUNCIONAIS	4
17	2	10103007	GEOMETRIA E TOPOLOGIA	3
18	17	10103015	GEOMETRIA DIFERÊNCIAL	4
19	17	10103023	TOPOLOGIA ALGÉBRICA	4
20	17	10103031	TOPOLOGIA DAS VARIEDADES	4
21	17	10103040	SISTEMAS DINÂMICOS	4
22	17	10103058	TEORIA DAS SINGULARIDADES E TEORIA DAS CATÁSTROFES	4
23	17	10103066	TEORIA DAS FOLHEAÇÕES	4
24	2	10104003	MATEMÁTICA APLICADA	3
25	24	10104011	FÍSICA MATEMÁTICA	4
26	24	10104020	ANÁLISE NUMÉRICA	4
27	24	10104038	MATEMÁTICA DISCRETA E COMBINATÓRIA	4
28	1	10200002	PROBABILIDADE E ESTATÍSTICA	2
29	1303	10201017	TEORIA GERAL E FUNDAMENTOS DA PROBABILIDADE	4
30	1303	10201025	TEORIA GERAL E PROCESSOS ESTOCÁSTICOS	4
31	1303	10201033	TEOREMAS DE LIMITE	4
32	1303	10201041	PROCESSOS MARKOVIANOS	4
33	1303	10201050	ANÁLISE ESTOCÁSTICA	4
34	1303	10201068	PROCESSOS ESTOCÁSTICOS ESPECIAIS	4
35	28	10202005	ESTATÍSTICA	3
36	35	10202013	FUNDAMENTOS DA ESTATÍSTICA	4
37	35	10202021	INFERÊNCIA PARAMÉTRICA	4
38	35	10202030	INFERÊNCIA NÃO-PARAMÉTRICA	4
39	35	10202048	INFERÊNCIA EM PROCESSOS ESTOCÁSTICOS	4
40	35	10202056	ANÁLISE MULTIVARIADA	4
41	35	10202064	REGRESSÃO E CORRELAÇÃO	4
42	35	10202072	PLANEJAMENTO DE EXPERIMENTOS	4
43	35	10202080	ANÁLISE DE DADOS	4
44	28	10203001	PROBABILIDADE E ESTATÍSTICA APLICADAS	3
45	1	10300007	CIÊNCIA DA COMPUTAÇÃO	2
46	45	10301003	TEORIA DA COMPUTAÇÃO	3
47	46	10301011	COMPUTABILIDADE E MODELOS DE COMPUTAÇÃO	4
48	46	10301020	LINGUAGEM FORMAIS E AUTÔMATOS	4
49	46	10301038	ANÁLISE DE ALGORÍTMOS E COMPLEXIDADE DE COMPUTAÇÃO	4
50	46	10301046	LÓGICAS E SEMÂNTICA DE PROGRAMAS	4
51	45	10302000	MATEMÁTICA DA COMPUTAÇÃO	3
52	51	10302018	MATEMÁTICA SIMBÓLICA	4
53	51	10302026	MODELOS ANALÍTICOS E DE SIMULAÇÃO	4
54	45	10303006	METODOLOGIA E TÉCNICAS DA COMPUTAÇÃO	3
55	54	10303014	LINGUAGENS DE PROGRAMAÇÃO	4
56	54	10303022	ENGENHARIA DE SOFTWARE	4
57	54	10303030	BANCO DE DADOS	4
58	54	10303049	SISTEMAS DE INFORMAÇÃO	4
59	54	10303057	PROCESSAMENTO GRÁFICO (GRAPHICS)	4
60	45	10304002	SISTEMA DE COMPUTAÇÃO	3
61	60	10304010	HARDWARE	4
62	60	10304029	ARQUITETURA DE SISTEMAS DE COMPUTAÇÃO	4
63	60	10304037	SOFTWARE BÁSICO	4
64	60	10304045	TELEINFORMÁTICA	4
65	1	10400001	ASTRONOMIA	2
66	65	10401008	ASTRONOMIA DE POSIÇÃO E MECÂNICA CELESTE	3
67	66	10401016	ASTRONOMIA FUNDAMENTAL	4
68	66	10401024	ASTRONOMIA DINÂMICA	4
69	65	10402004	ASTROFÍSICA ESTELAR	3
70	65	10403000	ASTROFÍSICA DO MEIO INTERESTELAR	3
71	70	10403019	MEIO INTERESTELAR	4
72	70	10403027	NEBULOSA	4
73	65	10404007	ASTROFÍSICA EXTRAGALÁTICA	3
74	73	10404015	GALÁXIAS	4
75	73	10404023	AGLOMERADOS DE GALÁXIAS	4
76	73	10404031	QUASARES	4
77	73	10404040	COSMOLOGIA	4
78	65	10405003	ASTROFÍSICA DO SISTEMA SOLAR	3
79	78	10405011	FÍSICA SOLAR	4
80	78	10405020	MOVIMENTO DA TERRA	4
81	78	10405038	SISTEMA PLANETÁRIO	4
82	65	10406000	INSTRUMENTAÇÃO ASTRONÔMICA	3
83	82	10406018	ASTRONOMIA ÓTICA	4
84	82	10406026	RADIOASTRONOMIA	4
85	82	10406034	ASTRONOMIA ESPACIAL	4
86	82	10406042	PROCESSAMENTO DE DADOS ASTRONÔMICOS	4
87	1	10500006	FÍSICA	2
88	87	10501002	FÍSICA GERAL	3
89	88	10501010	MÉTODOS MATEMÁTICOS DA FÍSICA	4
90	88	10501029	"FÍSICA CLÁSSICA E FÍSICA QUÂNTICA; MECÂNICA E CAMPOS"	4
91	88	10501037	RELATIVIDADE E GRAVITAÇÃO	4
92	88	10501045	FÍSICA ESTATÍSTICA E TERMODINÂMICA	4
93	88	10501053	METROLOGIA, TECN. GER. DE LAB. E SIST. DE INSTRUMENTAÇÃO	4
94	88	10501061	INSTRUMENTAÇÃO ESPECÍFICA DE USO GERAL EM FÍSICA	4
95	87	10502009	ÁREAS CLÁSSICAS DE FENOMENOLOGIA E SUAS APLICAÇÕES	3
96	95	10502017	"ELETRICIDADE E MAGNETISMO; CAMPOS E PARTÍCULAS CARREGADAS"	4
97	95	10502025	ÓTICA	4
98	95	10502033	ACÚSTICA	4
99	95	10502041	"TRANSFERÊNCIA DE CALOR; PROCESSOS TÉRMICOS E TERMODINÂMICOS"	4
100	95	10502050	MECÂNICA, ELASTICIDADE E REOLOGIA	4
101	95	10502068	DINÂMICA DOS FLUIDOS	4
102	87	10503005	FÍSICA DAS PARTÍCULAS ELEMENTARES E CAMPOS	3
